Time,FPR
0,0.0
1,0.0
2,0.0
3,0.0
4,0.002
5,0.0033333333333333335
6,0.002857142857142857
7,0.00375
8,0.0044444444444444444
9,0.006
10,0.006363636363636364
11,0.008333333333333333
12,0.007692307692307693
13,0.007142857142857143
14,0.008
15,0.00875
16,0.008823529411764706
17,0.009444444444444445
18,0.010526315789473684
19,0.011005502751375688
20,0.012863268222963315
21,0.01318781264211005
22,0.013919095258808177
23,0.015006252605252188
24,0.014805922368947578
25,0.014621008080030782
26,0.01593182660244535
27,0.01607717041800643
28,0.017247326664367024
29,0.01800600200066689
